GL1,TTG1,TRY,GL3,G3-G1,G3-T1,G3-TRY,G3-G3,G3-G1-T1,G3-T1-TRY,G1-G3-G3,T1-G3-G3,TRY-G3-G3,T1-G1-G3-G3,TRY-T1-G3-G3,G1-G3-G3-T1,G1-G3-G3-TRY,T1-G3-G3-TRY,G1-G3-G3-G1,T1-G3-G3-T1,TRY-G3-G3-TRY,G1-T1-G3-G3-G1,G1-T1-G3-G3-T1,G1-G3-G3-T1-TRY,G1-T1-G3-G3-TRY,T1-TRY-G3-G3-TRY,TRY-T1-G3-G3-T1,G1-T1-G3-G3-T1-G1,T1-TRY-G3-G3-TRY-T1,G1-T1-G3-G3-T1-TRY
2,3,0.25,1,18.195,15.729,0.55904,0.54894,17.648,1.292,3.0747,2.6579,0.089315,2.9795,0.21474,7.4386,0.2459,0.21687,4.3134,3.2183,0.0036629,8.3551,7.2113,0.58078,0.24032,0.017679,0.52414,4.0466,0.021381,0.57776
3,3,0.25,1,21.05,11.23,0.41335,0.27973,20.592,0.95586,2.5633,1.3664,0.046993,2.5058,0.11377,6.2571,0.21215,0.11524,5.8795,1.6694,0.0019969,11.49,6.1191,0.50547,0.20907,0.0097183,0.28105,5.6141,0.011862,0.50724
4,3,0.25,1,22.683,8.6393,0.32483,0.16556,22.301,0.75145,2.1366,0.81294,0.028339,2.0994,0.068863,5.2431,0.18052,0.06991,6.8995,0.99842,0.0012304,13.553,5.1537,0.43233,0.17878,0.0060175,0.17144,6.6569,0.0073866,0.43609
0,4,0.25,1,0,45.822,0.97367,2.442,0,3.1509,0,15.805,0.33584,0,1.0868,0,0,1.0868,0,25.573,0.011547,0,0,0,0,0.074731,3.5169,0,0.12092,0
0.25,4,0.25,1,3.2288,39.712,0.87471,1.8403,4.2164,2.8228,0.97139,11.992,0.26123,1.2669,0.85033,3.1634,0.067414,0.85148,0.12869,19.537,0.0092791,0.33545,4.1269,0.21529,0.08888,0.060433,2.7731,0.21862,0.098417,0.28793
1,4,0.25,1,9.9987,26.763,0.64107,0.84038,13.25,2.0564,2.0735,5.5594,0.12841,2.7452,0.42335,6.8548,0.15515,0.4254,1.2826,9.1955,0.0049254,3.3942,9.0779,0.50286,0.20746,0.032526,1.4054,2.2457,0.053743,0.68239
2,4,0.25,1,14.789,17.49,0.44823,0.35988,19.812,1.4315,2.0356,2.4079,0.058298,2.7253,0.19398,6.8062,0.16187,0.19559,2.8837,4.0284,0.0023806,7.718,9.1152,0.53053,0.21874,0.015887,0.65348,5.1646,0.026547,0.72788
3,4,0.25,1,17.28,12.631,0.33635,0.18795,23.286,1.0717,1.7318,1.2652,0.031444,2.3326,0.10511,5.8262,0.14254,0.10625,3.9942,2.1299,0.0013308,10.756,7.8499,0.47002,0.19372,0.0089319,0.35727,7.2413,0.015021,0.64873
4,4,0.25,1,18.736,9.7823,0.26669,0.11285,25.335,0.84857,1.4613,0.76242,0.019244,1.9754,0.064491,4.9345,0.12285,0.06532,4.7352,1.2882,0.00083261,12.797,6.6722,0.40653,0.16751,0.0056077,0.22051,8.6473,0.0094686,0.56311
0,0,1,1,-1.31E-23,3.11E-21,22.245,46.897,1.11E-32,8.96E-22,-1.59E-23,3.78E-21,26.978,1.00E-31,1.09E-21,2.36E-34,-4.57E-24,1.09E-21,4.92E-41,-4.11E-32,3.8799,3.80E-46,1.58E-46,2.43E-34,1.86E-32,3.13E-22,2.33E-32,3.56E-46,2.32E-33,1.85E-47
0.25,0,1,1,12.711,0,17.563,30.465,0,0,13.12,0,18.128,0,0,0,3.9036,0,1.4126,0,2.6969,0,0,0,0,0,0,0,0,0
1,0,1,1,33.141,8.26E-17,9.7283,9.7953,3.72E-17,2.64E-17,21.431,5.31E-17,6.2909,2.34E-17,1.70E-17,5.75E-17,6.8819,1.71E-17,11.722,7.22E-35,1.0101,2.55E-17,6.31E-35,1.77E-17,7.49E-18,5.47E-18,4.64E-35,1.39E-35,7.44E-36,2.00E-35
2,0,1,1,43.485,6.15E-18,5.5252,3.1753,6.67E-18,2.07E-18,16.945,2.37E-18,2.1531,2.55E-18,7.96E-19,6.29E-18,5.745,8.06E-19,22.607,4.46E-37,0.36498,6.79E-18,9.51E-37,2.04E-18,8.63E-19,2.72E-19,3.02E-37,5.11E-37,5.12E-38,3.17E-37
3,0,1,1,47.743,1.71E-18,3.7239,1.4366,3.08E-18,5.89E-19,12.826,4.54E-19,1.0004,8.15E-19,1.56E-19,2.02E-18,4.466,1.58E-19,28.629,3.61E-38,0.17417,3.63E-18,1.29E-37,6.71E-19,2.84E-19,5.48E-20,2.51E-38,1.16E-37,4.36E-39,4.41E-38
4,0,1,1,49.93,-1.15E-18,2.7781,0.79667,-2.94E-18,-4.02E-19,10.12,-2.31E-19,0.56306,-5.89E-19,-7.99E-20,-1.46E-18,3.5762,-8.17E-20,32.137,1.68E-38,0.099488,-3.74E-18,8.54E-38,-4.92E-19,-2.08E-19,-2.86E-20,1.18E-38,1.09E-37,2.09E-39,2.97E-38
0,0.25,1,1,-2.05E-16,8.3116,18.005,33.509,-1.14E-17,2.3907,-2.18E-16,8.8987,19.277,-1.17E-17,2.5596,-2.86E-17,-6.26E-17,2.5596,3.57E-34,0.59078,2.7724,3.80E-35,-1.54E-18,-7.91E-18,-3.34E-18,0.73624,0.33986,1.01E-36,0.048879,-4.36E-19
0.25,0.25,1,1,10.942,6.7439,14.525,22.233,0.62931,2.0018,9.9447,6.1404,13.219,0.55229,1.8231,1.3566,2.9483,1.826,1.1164,0.42429,1.965,0.12357,0.075766,0.38711,0.16355,0.54251,0.25221,0.0034274,0.03748,0.02219
1,0.25,1,1,29.341,3.9673,8.4302,7.5348,1.8256,1.2646,16.878,2.2742,4.8248,1.0244,0.72423,2.5233,5.3883,0.72912,9.4778,0.17213,0.77277,1.1475,0.15402,0.7743,0.32694,0.23292,0.11014,0.034809,0.017625,0.048538
2,0.25,1,1,39.222,2.3586,4.9609,2.5573,2.5849,0.79195,13.804,0.82386,1.7275,0.89415,0.27527,2.2095,4.6495,0.2789,18.658,0.066685,0.29208,2.4132,0.1439,0.71411,0.30127,0.093819,0.044987,0.078184,0.0075942,0.04781
3,0.25,1,1,43.479,1.6268,3.4042,1.1853,2.9502,0.56092,10.649,0.39489,0.82239,0.7131,0.13489,1.7659,3.685,0.13736,23.939,0.033079,0.1429,3.203,0.11886,0.5856,0.24691,0.047394,0.022906,0.10732,0.0039721,0.040548
4,0.25,1,1,45.723,1.2292,2.5651,0.6661,3.1545,0.43033,8.4936,0.22626,0.46916,0.57977,0.07817,1.4379,2.9846,0.079913,27.093,0.01933,0.082797,3.6962,0.098608,0.48368,0.20387,0.02796,0.013579,0.12625,0.0023908,0.034144
0,1,1,1,-5.69E-26,22.804,10.613,13.828,-1.45E-26,6.5593,-4.21E-26,17.092,7.9549,-1.05E-26,4.9163,-2.58E-26,-1.20E-26,4.9163,-3.35E-32,5.2818,1.1441,-3.69E-32,-6.43E-27,-7.12E-27,-2.99E-27,1.4141,3.0384,-3.15E-32,0.43698,-1.82E-27
0.25,1,1,1,7.4345,19.113,8.9757,9.6703,1.9378,5.665,4.7329,12.279,5.736,1.2079,3.6364,2.981,1.3902,3.6429,0.58584,3.8997,0.85091,0.29783,0.76362,0.8476,0.35587,1.0798,2.3125,0.037916,0.34284,0.22285
1,1,1,1,21.197,12.047,5.7868,3.7418,5.824,3.823,8.8509,5.0388,2.378,2.3953,1.5923,5.9214,2.785,1.6036,5.2757,1.6999,0.37854,2.8469,1.6086,1.8023,0.75611,0.50875,1.0797,0.38464,0.17149,0.50262
